ID	S1	S2	S3
1497-RMM-0001	1.69162326143	56.513670235	16.7404342661
1497-RMM-0002	21.5177342687	22.0917427974	20.025493526
1497-RMM-0003	15.775506673	43.0725075848	10.9360455136
1497-RMM-0005	10.6546051216	33.8241316225	22.9118062912
1497-RMM-0013	5.64865882274	60.0272554341	8.64154790119
1497-RMM-0020	21.696086183	25.1768613912	16.8269830908
1497-RMM-0021	4.30789786329	72.4367041272	0.115590163034
1497-RMM-0023	6.71951098463	59.1290195264	8.11713302208
1497-RMM-0025	21.0619493962	23.8972234505	20.2482079685
1497-RMM-0026	25.2309533519	17.0174452663	20.4923034016
1497-RMM-0027	17.5507602496	28.1847543683	19.4165763552
1497-RMM-0032	20.0003960229	18.3458465677	25.0806200935
1497-RMM-0036	0.120317798791	78.9715195755	0.00699009664371
1497-RMM-0038	20.3570133163	27.8835675642	16.9422174463
1497-RMM-0049	15.3303631316	39.0388526879	13.0396463163
1497-RMM-0050	23.3198443553	21.8734829097	18.0631690858
1497-RMM-0051	18.8777216645	22.1581398623	23.7954663442
1497-RMM-0054	29.3342763667	14.9447805882	16.8193015018
1497-RMM-0057	13.3725070344	47.2513277586	10.7019164722
1497-RMM-0062	18.0103540191	32.1632332201	16.9276669036
1497-RMM-0063	1.30454688881e-12	92.2025910813	2.22044604925e-16
1497-RMM-0065	22.7836762315	25.7921299202	15.4595036505
1497-RMM-0066	11.0266653964	30.6771342952	25.9502448747
1497-RMM-0067	23.9868567359	16.9675606442	21.3860268843
1497-RMM-0068	20.4060972582	17.6532718671	25.5163944407
1497-RMM-0069	17.7467609366	24.8959249377	21.568673924
1497-RMM-0070	3.18903019324	59.1132885989	12.5730285671
1497-RMM-0073	16.770403729	28.4411004221	20.2264486264
1497-RMM-0074	15.1435438307	28.7244418219	21.7649772475
1497-RMM-0075	16.6250647758	25.8887294455	22.1604905109
1497-RMM-0076	16.1874271592	36.3923355187	16.1620975107
1497-RMM-0077	17.0075293956	27.1189717302	21.7271004428
1497-RMM-0079	15.6048042724	28.8912818017	21.433045668
1497-RMM-0080	22.8121375931	30.0813504016	12.8054732476
1497-RMM-0081	14.9488522472	33.0645703701	18.6834785797
1497-RMM-0082	0.00545508799519	81.9836587424	0.00175753833095
1497-RMM-0083	13.3030478305	42.5715291265	14.2297408307
1497-RMM-0085	16.0613392275	33.1053541242	18.6645015094
1497-RMM-0093	4.56593679281	51.9921430378	15.2784027825
1497-RMM-0096	12.5141504122	35.1334693906	20.4223430622
1497-RMM-0097	3.93497841463	48.0054410049	18.2560854552
1497-RMM-0103	13.1354098376	35.5867076574	18.4514592437
1497-RMM-0107	16.2350124217	34.5096768456	16.8365591387
1497-RMM-0111	10.4929458032	48.3074909337	11.543152304
1497-RMM-0112	13.2314194337	50.6145193083	8.23371067363
1497-RMM-0113	15.5517734912	48.9604302756	6.76450376629
1497-RMM-0114	6.48071205261	53.1518910893	12.2694305428
1497-RMM-0115	24.0814461038	21.3457206455	19.1600592378
1497-RMM-0124	7.16238501954	46.0031800251	17.4818261204
1497-RMM-0133	14.2007717033	40.6793227712	14.2401482514
1497-RMM-0134	21.5386475417	26.892088476	16.4056737134
1497-RMM-0135	15.5387581325	23.2512175114	25.3450230571
1497-RMM-0136	14.2927237357	33.7408134894	20.0897113424
1497-RMM-0142	10.263049483	32.6499696072	24.4994141316
1497-RMM-0147	9.99711597329	42.6268364026	16.4836424774
1497-RMM-0148	0.00220346992486	79.6729994111	3.03653142706e-05
1497-RMM-0149	18.9197427693	33.8463840993	14.2863557084
1497-RMM-0150	12.7737307665	35.8747351358	19.7767052595
1497-RMM-0151	11.9811390439	26.6173067395	27.3519376226
1497-RMM-0152	20.2421223793	30.7990194003	15.5867454439
1497-RMM-0154	20.7390930556	30.0874947491	15.2086741238
1497-RMM-0155	19.9310473932	26.3445184279	18.7962609524
1497-RMM-0157	8.97663719059	34.2951054252	24.4626839595
1497-RMM-0160	8.75065827962	41.6525789677	18.0791031954
